province,date_death_report,deaths,cumulative_deaths
Alberta,22/09/2020,2,258
Alberta,23/09/2020,2,260
Alberta,24/09/2020,1,261
Alberta,25/09/2020,0,261
Alberta,26/09/2020,0,261
Alberta,27/09/2020,0,261
Alberta,28/09/2020,4,265
Alberta,29/09/2020,1,266
Alberta,30/09/2020,1,267
Alberta,01/10/2020,2,269
Alberta,02/10/2020,3,272
Alberta,03/10/2020,0,272
Alberta,04/10/2020,0,272
Alberta,05/10/2020,8,280
Alberta,06/10/2020,1,281
Alberta,07/10/2020,0,281
Alberta,08/10/2020,1,282
Alberta,09/10/2020,0,282
Alberta,10/10/2020,0,282
Alberta,11/10/2020,0,282
Alberta,12/10/2020,0,282
Alberta,13/10/2020,4,286
Alberta,14/10/2020,1,287
Alberta,15/10/2020,1,288
Alberta,16/10/2020,0,288
Alberta,17/10/2020,0,288
Alberta,18/10/2020,0,288
Alberta,19/10/2020,4,292
Alberta,20/10/2020,1,293
Alberta,21/10/2020,3,296
Alberta,22/10/2020,0,296
Alberta,23/10/2020,4,300
Alberta,24/10/2020,0,300
Alberta,25/10/2020,0,300
Alberta,26/10/2020,7,307
Alberta,27/10/2020,2,309
Alberta,28/10/2020,4,313
Alberta,29/10/2020,5,318
Alberta,30/10/2020,5,323
Alberta,31/10/2020,0,323
Alberta,01/11/2020,0,323
Alberta,02/11/2020,0,323
Alberta,03/11/2020,15,338
Alberta,04/11/2020,5,343
Alberta,05/11/2020,0,343
Alberta,06/11/2020,9,352
Alberta,07/11/2020,5,357
Alberta,08/11/2020,6,363
Alberta,09/11/2020,7,370
Alberta,10/11/2020,6,376
Alberta,11/11/2020,7,383
Alberta,12/11/2020,10,393
Alberta,13/11/2020,5,398
Alberta,14/11/2020,3,401
Alberta,15/11/2020,6,407
Alberta,16/11/2020,20,427
Alberta,17/11/2020,5,432
Alberta,18/11/2020,11,443
Alberta,19/11/2020,8,451
Alberta,20/11/2020,11,462
Alberta,21/11/2020,9,471
Alberta,22/11/2020,0,471
